stadium_id,stadium_code,team_code,stadium_name,data_type,field_name,value,unit,detail,status,source_grade,source_type,source_url,source_date,notes,content
GWANGJU_KIA,GWANGJU,KIA,광주 KIA 챔피언스필드,좌석도,official_seat_map,공식 구장안내도,,"KIA 공식 구장안내도 페이지. 관람석 20,500석.",CONFIRMED_OFFICIAL,A,OFFICIAL_STADIUM_GUIDE,https://tigers.co.kr/tigers/champions-field/stadium-guide,2026,외야자유석을 포함한 좌석 구역 확인용 원천 링크.,"[광주-KIA 챔피언스 필드 · KIA 타이거즈] stadium_code: GWANGJU / team_code: KIA / stadium_name: 광주 KIA 챔피언스필드 / data_type: 좌석도 / field_name: official_seat_map / value: 공식 구장안내도 / detail: KIA 공식 구장안내도 페이지. 관람석 20,500석. / notes: 외야자유석을 포함한 좌석 구역 확인용 원천 링크."
GWANGJU_KIA,GWANGJU,KIA,광주 KIA 챔피언스필드,좌석도,outfield_block,별도 블록번호 없음,,외야자유석은 별도 블록번호를 두지 않는 형태로 정리.,OFFICIAL_APPROXIMATE,A,OFFICIAL_MAP_READING,https://tigers.co.kr/tigers/champions-field/stadium-guide,2026,공식 좌석도 판독값. 501~535는 5층 상단 좌석번호이므로 외야 블록으로 사용하지 않음.,[광주-KIA 챔피언스 필드 · KIA 타이거즈] stadium_code: GWANGJU / team_code: KIA / stadium_name: 광주 KIA 챔피언스필드 / data_type: 좌석도 / field_name: outfield_block / value: 별도 블록번호 없음 / detail: 외야자유석은 별도 블록번호를 두지 않는 형태로 정리. / notes: 공식 좌석도 판독값. 501~535는 5층 상단 좌석번호이므로 외야 블록으로 사용하지 않음. (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
GWANGJU_KIA,GWANGJU,KIA,광주 KIA 챔피언스필드,좌석도,seat_capacity,20500,석,"공식 구장 소개 및 한국관광공사 자료에서 20,500석으로 확인.",CONFIRMED_OFFICIAL,A,OFFICIAL_TEAM_PAGE,https://tigers.co.kr/tigers/champions-field,2026,,"[광주-KIA 챔피언스 필드 · KIA 타이거즈] stadium_code: GWANGJU / team_code: KIA / stadium_name: 광주 KIA 챔피언스필드 / data_type: 좌석도 / field_name: seat_capacity / value: 20500 / unit: 석 / detail: 공식 구장 소개 및 한국관광공사 자료에서 20,500석으로 확인."
DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,주차_수용면,parking_total,1679,면,"지하 1,220면 + 지상 459면.",CONFIRMED,A-,CITY_PLAN+RECENT_FIELD_REPORT,https://daejeon.go.kr/drh/drhStoryDaejeonView.do?boardId=blog_0001&categorySeq=291&menuSeq=1628&ntatcSeq=1411166124,2025~2026,"대전시 계획의 총 1,679면과 개장 직전/이후 현장자료의 지하 1,220·지상 459가 일치.","[대전 한화생명 볼파크 · 한화 이글스] stadium_code: DAEJEON / team_code: HANWHA / stadium_name: 대전 한화생명 볼파크 / data_type: 주차_수용면 / field_name: parking_total / value: 1679 / unit: 면 / detail: 지하 1,220면 + 지상 459면. / notes: 대전시 계획의 총 1,679면과 개장 직전/이후 현장자료의 지하 1,220·지상 459가 일치."
DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,주차_수용면,parking_underground,1220,면,볼파크 지하 주차장.,FIELD_VERIFIED,B,RECENT_FIELD_REPORT,https://www.localtoday.co.kr/news/articleView.html?idxno=319736,2025,,[대전 한화생명 볼파크 · 한화 이글스] stadium_code: DAEJEON / team_code: HANWHA / stadium_name: 대전 한화생명 볼파크 / data_type: 주차_수용면 / field_name: parking_underground / value: 1220 / unit: 면 / detail: 볼파크 지하 주차장. (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,주차_수용면,parking_ground,459,면,볼파크 지상 주차장.,FIELD_VERIFIED,B,RECENT_FIELD_REPORT,https://www.localtoday.co.kr/news/articleView.html?idxno=319736,2025,,[대전 한화생명 볼파크 · 한화 이글스] stadium_code: DAEJEON / team_code: HANWHA / stadium_name: 대전 한화생명 볼파크 / data_type: 주차_수용면 / field_name: parking_ground / value: 459 / unit: 면 / detail: 볼파크 지상 주차장. (공식 확인 전 정보로 정확하지 않을 수 있습니다.)
DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,주차장_요금,parking_fee,무료,,한국관광공사 관광데이터의 주차요금 무료 표기와 최근 운영자료를 종합.,CONFIRMED,A-,PUBLIC_TOURISM_DATA,https://data.visitkorea.or.kr/resource/2766990,2026 확인,"한국관광공사 데이터의 주차면수 900대는 구형 값이므로 요금만 사용. 수용면은 1,679면 자료를 사용.","[대전 한화생명 볼파크 · 한화 이글스] stadium_code: DAEJEON / team_code: HANWHA / stadium_name: 대전 한화생명 볼파크 / data_type: 주차장_요금 / field_name: parking_fee / value: 무료 / detail: 한국관광공사 관광데이터의 주차요금 무료 표기와 최근 운영자료를 종합. / notes: 한국관광공사 데이터의 주차면수 900대는 구형 값이므로 요금만 사용. 수용면은 1,679면 자료를 사용."
DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,주차장_요금,separate_parking_building_fee,"최초 3시간 무료 / 이후 15분당 300원 / 일 최대 3,600원",,한밭문화체육센터 주차빌딩은 볼파크 주차장과 별도 시설.,CONFIRMED_OFFICIAL,A,OFFICIAL_FACILITY_NOTICE,https://www.djsiseol.or.kr/portal/sub020101_board_view.asp?bbs_id=notice&homepage_id=phy&page=1&searchKey=&searchKeyValue=&t_seq=4259,2025-08-01~,볼파크 메인 주차장 '무료'와 혼동 금지.,"[대전 한화생명 볼파크 · 한화 이글스] stadium_code: DAEJEON / team_code: HANWHA / stadium_name: 대전 한화생명 볼파크 / data_type: 주차장_요금 / field_name: separate_parking_building_fee / value: 최초 3시간 무료 / 이후 15분당 300원 / 일 최대 3,600원 / detail: 한밭문화체육센터 주차빌딩은 볼파크 주차장과 별도 시설. / notes: 볼파크 메인 주차장 '무료'와 혼동 금지."
DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,버스정류장명,bus_stop_1,한밭종합운동장 (21090),,"구장 바로 앞, 부사오거리 방면. 급행4·52·513·604 정차.",CONFIRMED,A-,OFFICIAL_ACCESS_PAGE+BUS_ROUTE_CROSSCHECK,https://www.djsiseol.or.kr/portal/sub020205.asp,2026 확인,정류장 번호 21090은 노선/정류장 자료로 교차 확인.,"[대전 한화생명 볼파크 · 한화 이글스] stadium_code: DAEJEON / team_code: HANWHA / stadium_name: 대전 한화생명 볼파크 / data_type: 버스정류장명 / field_name: bus_stop_1 / value: 한밭종합운동장 (21090) / detail: 구장 바로 앞, 부사오거리 방면. 급행4·52·513·604 정차. / notes: 정류장 번호 21090은 노선/정류장 자료로 교차 확인."
DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,버스정류장명,bus_stop_2,한밭종합운동장 (21100),,"21090 맞은편, 오토바이거리·으능정이거리 방향. 급행4·52·513·604 정차.",CONFIRMED,A-,OFFICIAL_ACCESS_PAGE+BUS_ROUTE_CROSSCHECK,https://www.djsiseol.or.kr/portal/sub020205.asp,2026 확인,정류장 번호 21100은 노선/정류장 자료로 교차 확인.,"[대전 한화생명 볼파크 · 한화 이글스] stadium_code: DAEJEON / team_code: HANWHA / stadium_name: 대전 한화생명 볼파크 / data_type: 버스정류장명 / field_name: bus_stop_2 / value: 한밭종합운동장 (21100) / detail: 21090 맞은편, 오토바이거리·으능정이거리 방향. 급행4·52·513·604 정차. / notes: 정류장 번호 21100은 노선/정류장 자료로 교차 확인."
