no,target_file_sheet,stadium_code,item,value,source,source_type,evidence_type,evidence_subtype,verified_at,incorporation_status,incorporation_note,content
1,구장정보 · Team Policies,SUWON,입장 시간,경기 시작 2시간 전부터 입장 가능,kt wiz 공식 '입장 시간 및 방법',구단 공식(이미지),OFFICIAL,OFFICIAL_TEAM_SITE,2026-09-05 열람,PENDING_NEW_SCHEMA,SUWON 입장 시간 — Team Policies류 전용 CSV가 아직 없어 이 참조 테이블에만 보존. 향후 구단정책 테이블 신설 시 반영 대상.,[수원 KT 위즈 파크] no: 1 / target_file_sheet: 구장정보 · Team Policies / stadium_code: SUWON / item: 입장 시간 / value: 경기 시작 2시간 전부터 입장 가능 / incorporation_status: PENDING_NEW_SCHEMA / incorporation_note: SUWON 입장 시간 — Team Policies류 전용 CSV가 아직 없어 이 참조 테이블에만 보존. 향후 구단정책 테이블 신설 시 반영 대상.
2,구장정보 · Transport,GOCHEOK,주차 면수,"484면, 전기차충전소 구비",서울시설공단 고척스카이돔 시설현황,운영기관 공식,OFFICIAL,GOV_AGENCY,2026-09-05 열람,INCORPORATED,"구장교통정보.csv GOCHEOK/PARKING 행의 details에 '전기차충전소 구비' 문구 추가 (면수 484는 기존 값과 일치, 교차검증 통과).","[고척스카이돔] no: 2 / target_file_sheet: 구장정보 · Transport / stadium_code: GOCHEOK / item: 주차 면수 / value: 484면, 전기차충전소 구비 / incorporation_status: INCORPORATED / incorporation_note: 구장교통정보.csv GOCHEOK/PARKING 행의 details에 '전기차충전소 구비' 문구 추가 (면수 484는 기존 값과 일치, 교차검증 통과)."
3,구장정보 · Facilities,GOCHEOK,층별 시설,4층 매점 / 3층 스카이박스·매점·방송실·아기쉼터 / 2층 매점·귀빈실·아기쉼터 / 1층 그라운드·선수실·헬스장·관리사무실·어린이놀이터 / B1 선수연습실·주차장·서울아트책보고 / B2 수영장·주차장,서울시설공단 고척스카이돔 시설현황,운영기관 공식,OFFICIAL,GOV_AGENCY,2026-09-05 열람,PENDING_NEW_SCHEMA,GOCHEOK 층별 시설 배치 — 구장정보.xlsx의 Facilities 시트 자체가 아직 미처리라 반영할 파일이 없음. 이 참조 테이블에 원문 보존.,[고척스카이돔] no: 3 / target_file_sheet: 구장정보 · Facilities / stadium_code: GOCHEOK / item: 층별 시설 / value: 4층 매점 / 3층 스카이박스·매점·방송실·아기쉼터 / 2층 매점·귀빈실·아기쉼터 / 1층 그라운드·선수실·헬스장·관리사무실·어린이놀이터 / B1 선수연습실·주차장·서울아트책보고 / B2 수영장·주차장 / incorporation_status: PENDING_NEW_SCHEMA / incorporation_note: GOCHEOK 층별 시설 배치 — 구장정보.xlsx의 Facilities 시트 자체가 아직 미처리라 반영할 파일이 없음. 이 참조 테이블에 원문 보존.
4,구장정보 · Transport,DAEJEON,주차 운영조건,"지하주차장은 지하 1층만 사용 / 입차는 경기장 입장시간 1시간 전부터(평일 3시간 전, 주말 3시간 30분 전) / 선착순 운영, 만차 시 지상·외부 주차장 이용 → reservation_required=N",한화 이글스 공식 FAQ,구단 공식,OFFICIAL,OFFICIAL_TEAM_SITE,2026-09-05 열람,INCORPORATED,"구장교통정보.csv에 DAEJEON/PARKING '한화생명볼파크 지하주차장' 신규 행 추가 (reservation_required=N, 지하1층만 사용/입차시간/선착순 명시).","[대전 한화생명 볼파크] no: 4 / target_file_sheet: 구장정보 · Transport / stadium_code: DAEJEON / item: 주차 운영조건 / value: 지하주차장은 지하 1층만 사용 / 입차는 경기장 입장시간 1시간 전부터(평일 3시간 전, 주말 3시간 30분 전) / 선착순 운영, 만차 시 지상·외부 주차장 이용 → reservation_required=N / incorporation_status: INCORPORATED / incorporation_note: 구장교통정보.csv에 DAEJEON/PARKING '한화생명볼파크 지하주차장' 신규 행 추가 (reservation_required=N, 지하1층만 사용/입차시간/선착순 명시)."
5,구장정보 · Policies,DAEJEON,음료 반입,"미개봉 음료에 한해 1인당 PET 1개 또는 캔 2개, 총 반입 용량 1L 이하. 유리병·1L 초과 반입 금지",한화 이글스 공식 FAQ,구단 공식,OFFICIAL,OFFICIAL_TEAM_SITE,2026-09-05 열람,ALREADY_CAPTURED,"docs/KBO_반입물품_재입장규정.md·json HANWHA beverage 필드에 이미 '미개봉 PET 1개 또는 캔 2개, 총량 1L 이하'로 동일 내용 반영돼 있음. '유리병·1L 초과 금지' 명시 문구만 이번에 보강.","[대전 한화생명 볼파크] no: 5 / target_file_sheet: 구장정보 · Policies / stadium_code: DAEJEON / item: 음료 반입 / value: 미개봉 음료에 한해 1인당 PET 1개 또는 캔 2개, 총 반입 용량 1L 이하. 유리병·1L 초과 반입 금지 / incorporation_status: ALREADY_CAPTURED / incorporation_note: docs/KBO_반입물품_재입장규정.md·json HANWHA beverage 필드에 이미 '미개봉 PET 1개 또는 캔 2개, 총량 1L 이하'로 동일 내용 반영돼 있음. '유리병·1L 초과 금지' 명시 문구만 이번에 보강."
6,구장정보 · Policies,DAEJEON,음식물 반입,반입금지 품목 외 음식물은 소지품 크기·개수 허용 범위 내 반입 가능. 뜨거운 국물류·냄새가 강한 음식·던질 수 있는 과일류 제한. 미리 잘라온 과일은 가능,한화 이글스 공식 FAQ,구단 공식,OFFICIAL,OFFICIAL_TEAM_SITE,2026-09-05 열람,INCORPORATED,"docs/KBO_반입물품_재입장규정.md·json HANWHA 항목에 food_carry_in_detail 필드 신설해 상세 반영, claude/반입물품_구단별정리.md에도 동일 내용 추가.","[대전 한화생명 볼파크] no: 6 / target_file_sheet: 구장정보 · Policies / stadium_code: DAEJEON / item: 음식물 반입 / value: 반입금지 품목 외 음식물은 소지품 크기·개수 허용 범위 내 반입 가능. 뜨거운 국물류·냄새가 강한 음식·던질 수 있는 과일류 제한. 미리 잘라온 과일은 가능 / incorporation_status: INCORPORATED / incorporation_note: docs/KBO_반입물품_재입장규정.md·json HANWHA 항목에 food_carry_in_detail 필드 신설해 상세 반영, claude/반입물품_구단별정리.md에도 동일 내용 추가."
7,구장정보 · Team Policies,DAEJEON,예매 한도·연령 기준,"1인 4매까지, 최대 2회 예매 가능 / 어린이 13세 이하, 학생 14~19세 / 36개월 이상부터 티켓 구매 필요",한화 이글스 공식 FAQ,구단 공식,OFFICIAL,OFFICIAL_TEAM_SITE,2026-09-05 열람,PENDING_NEW_SCHEMA,DAEJEON 예매 한도·연령 기준 — 반입물품/재입장 스키마 밖의 티켓 구매 정책이라 별도 파일 필요. 이 참조 테이블에 원문 보존.,"[대전 한화생명 볼파크] no: 7 / target_file_sheet: 구장정보 · Team Policies / stadium_code: DAEJEON / item: 예매 한도·연령 기준 / value: 1인 4매까지, 최대 2회 예매 가능 / 어린이 13세 이하, 학생 14~19세 / 36개월 이상부터 티켓 구매 필요 / incorporation_status: PENDING_NEW_SCHEMA / incorporation_note: DAEJEON 예매 한도·연령 기준 — 반입물품/재입장 스키마 밖의 티켓 구매 정책이라 별도 파일 필요. 이 참조 테이블에 원문 보존."
8,구장정보 · Ticket Prices,CHANGWON,2026 시즌티켓 체계,"N타입(모바일앱)·C타입(지류 티켓북)·스카이박스·드림티켓 4종, 홈 73경기 기준. 드림티켓 399,000원 = 정가의 50% → 내야석 1·2층 시즌권 정가 798,000원 역산(60석, 1인 최대 4매)",NC 다이노스 공식 공지,구단 공식,OFFICIAL,OFFICIAL_TEAM_SITE,2026-02-07,PENDING_NEW_SCHEMA,CHANGWON 2026 시즌티켓 체계 — 구장티켓가격.csv는 개별 좌석 단가 표라 시즌권 티어 서술형 데이터와 스키마가 안 맞음. 이 참조 테이블에 원문 보존.,"[창원 NC 파크] no: 8 / target_file_sheet: 구장정보 · Ticket Prices / stadium_code: CHANGWON / item: 2026 시즌티켓 체계 / value: N타입(모바일앱)·C타입(지류 티켓북)·스카이박스·드림티켓 4종, 홈 73경기 기준. 드림티켓 399,000원 = 정가의 50% → 내야석 1·2층 시즌권 정가 798,000원 역산(60석, 1인 최대 4매) / incorporation_status: PENDING_NEW_SCHEMA / incorporation_note: CHANGWON 2026 시즌티켓 체계 — 구장티켓가격.csv는 개별 좌석 단가 표라 시즌권 티어 서술형 데이터와 스키마가 안 맞음. 이 참조 테이블에 원문 보존."
9,구장정보 · Seat Experience,CHANGWON,시즌권 혜택,시즌티켓 전용 게이트 30분 빠른 입장 / 포스트시즌 홈경기 우선 예매권 / 2027 동일 좌석 선점권 / 프리미엄석·프리미엄 테이블석은 지하주차장 주차권 제공,NC 다이노스 공식 공지,구단 공식,OFFICIAL,OFFICIAL_TEAM_SITE,2026-02-07,PENDING_NEW_SCHEMA,CHANGWON 시즌권 혜택 — 구장좌석경험.csv(Seat Experience)는 좌석 시야 설명 스키마라 시즌권 혜택 서술과 안 맞음. 이 참조 테이블에 원문 보존.,[창원 NC 파크] no: 9 / target_file_sheet: 구장정보 · Seat Experience / stadium_code: CHANGWON / item: 시즌권 혜택 / value: 시즌티켓 전용 게이트 30분 빠른 입장 / 포스트시즌 홈경기 우선 예매권 / 2027 동일 좌석 선점권 / 프리미엄석·프리미엄 테이블석은 지하주차장 주차권 제공 / incorporation_status: PENDING_NEW_SCHEMA / incorporation_note: CHANGWON 시즌권 혜택 — 구장좌석경험.csv(Seat Experience)는 좌석 시야 설명 스키마라 시즌권 혜택 서술과 안 맞음. 이 참조 테이블에 원문 보존.
10,F&B · Food Stores,DAEJEON,더본 테이스티 8개 브랜드,"3루측: 빽다방빵연구소·새마을식당·역전우동·빽보이피자·한신포차·연돈볼카츠·백스비어·고투웍. 대표 메뉴: 최강한화 홈런볼빵, 컵 우동·비빔면, 홈플레이트 세트메뉴",더본코리아 공식 보도자료,운영사 공식,OFFICIAL,OFFICIAL_OPERATOR_PAGE,2025-03-04 (2026 유지 여부 재확인 필요),INCORPORATED,구장먹거리_공식매점.csv의 DAEJEON PARTIAL placeholder 행(구 F283 '더본코리아 입점 브랜드 구역')을 8개 개별 브랜드 행으로 확장.,"[대전 한화생명 볼파크] no: 10 / target_file_sheet: F&B · Food Stores / stadium_code: DAEJEON / item: 더본 테이스티 8개 브랜드 / value: 3루측: 빽다방빵연구소·새마을식당·역전우동·빽보이피자·한신포차·연돈볼카츠·백스비어·고투웍. 대표 메뉴: 최강한화 홈런볼빵, 컵 우동·비빔면, 홈플레이트 세트메뉴 / incorporation_status: INCORPORATED / incorporation_note: 구장먹거리_공식매점.csv의 DAEJEON PARTIAL placeholder 행(구 F283 '더본코리아 입점 브랜드 구역')을 8개 개별 브랜드 행으로 확장."
