attraction_id,stadium_code,stadium_name,category,category_group_code,name,category_detail,address,lng_x,lat_y,distance_m,phone,place_url,kakao_place_id,in_stadium_flag,source
KKO_JAMSIL_001,JAMSIL,잠실야구장,음식점,FD6,우이락 잠실야구장점,음식점 > 술집 > 실내포장마차 > 우이락,서울 송파구 올림픽로 25,127.075940250465,37.5161988700642,0,,http://place.map.kakao.com/487584815,487584815,Y,KAKAO_LOCAL_API
KKO_JAMSIL_002,JAMSIL,잠실야구장,음식점,FD6,명인만두 잠실야구장점,음식점 > 분식 > 명인만두,서울 송파구 올림픽로 25,127.075940250465,37.5161988700642,0,,http://place.map.kakao.com/728925010,728925010,Y,KAKAO_LOCAL_API
KKO_JAMSIL_003,JAMSIL,잠실야구장,음식점,FD6,올떡 잠실야구장3루점,음식점 > 분식 > 떡볶이 > 올떡,서울 송파구 올림픽로 25,127.073710763043,37.5150388888773,235,,http://place.map.kakao.com/1889494256,1889494256,N,KAKAO_LOCAL_API
KKO_JAMSIL_004,JAMSIL,잠실야구장,음식점,FD6,올떡 잠실야구장중앙점,음식점 > 분식 > 떡볶이 > 올떡,서울 송파구 올림픽로 25,127.073014868342,37.514778030042,302,,http://place.map.kakao.com/1889356191,1889356191,N,KAKAO_LOCAL_API
KKO_JAMSIL_005,JAMSIL,잠실야구장,음식점,FD6,BBQ 한강버스잠실선착장점,음식점 > 치킨 > BBQ,서울 송파구 백제고분로 2,127.07650549724818,37.519206054007604,337,,http://place.map.kakao.com/1308416450,1308416450,N,KAKAO_LOCAL_API
KKO_JAMSIL_006,JAMSIL,잠실야구장,음식점,FD6,면당포 잠실야구장외야점,음식점 > 한식 > 국수,서울 송파구 올림픽로 25,127.07214583455429,37.516780593875154,341,,http://place.map.kakao.com/1759657314,1759657314,N,KAKAO_LOCAL_API
KKO_JAMSIL_007,JAMSIL,잠실야구장,음식점,FD6,공씨네주먹밥 잠실야구장1호점,음식점 > 분식 > 공씨네주먹밥,서울 송파구 올림픽로 25,127.072333207117,37.5128521032705,489,,http://place.map.kakao.com/2049629473,2049629473,N,KAKAO_LOCAL_API
KKO_JAMSIL_008,JAMSIL,잠실야구장,음식점,FD6,프랭크버거 잠실야구장점,음식점 > 양식 > 햄버거 > 프랭크버거,서울 송파구 올림픽로 25,127.07298882909485,37.51243093108723,492,042-671-1100,http://place.map.kakao.com/1872630793,1872630793,N,KAKAO_LOCAL_API
KKO_JAMSIL_009,JAMSIL,잠실야구장,음식점,FD6,버거리 잠실야구장점,음식점 > 양식 > 햄버거 > 버거리,서울 송파구 올림픽로 25,127.0729638575626,37.51234084611102,502,,http://place.map.kakao.com/766530747,766530747,N,KAKAO_LOCAL_API
KKO_JAMSIL_010,JAMSIL,잠실야구장,음식점,FD6,피자헛 잠실야구장점,음식점 > 양식 > 피자 > 피자헛,서울 송파구 올림픽로 25,127.07296577501869,37.511986750332,536,070-4281-0562,http://place.map.kakao.com/115681374,115681374,N,KAKAO_LOCAL_API
KKO_JAMSIL_011,JAMSIL,잠실야구장,음식점,FD6,BHC치킨 잠실야구장2호점,음식점 > 치킨 > BHC치킨,서울 송파구 올림픽로 25,127.07131857122012,37.51280136301857,556,,http://place.map.kakao.com/1139839344,1139839344,N,KAKAO_LOCAL_API
KKO_JAMSIL_012,JAMSIL,잠실야구장,음식점,FD6,아리수만찬 잠실,"음식점 > 한식 > 육류,고기",서울 송파구 잠실동 1-2,127.08131490438089,37.51884243966242,558,02-2632-2100,http://place.map.kakao.com/1172624575,1172624575,N,KAKAO_LOCAL_API
KKO_JAMSIL_013,JAMSIL,잠실야구장,음식점,FD6,통빱 잠실야구장 3루점,음식점 > 도시락,서울 송파구 올림픽로 25,127.071181742889,37.5128365847168,562,,http://place.map.kakao.com/530458939,530458939,N,KAKAO_LOCAL_API
KKO_JAMSIL_014,JAMSIL,잠실야구장,음식점,FD6,도미노피자 잠실야구장점,음식점 > 양식 > 피자 > 도미노피자,서울 송파구 올림픽로 25,127.07111387754888,37.51283662559489,566,02-422-3082,http://place.map.kakao.com/16474614,16474614,N,KAKAO_LOCAL_API
KKO_JAMSIL_015,JAMSIL,잠실야구장,음식점,FD6,BHC치킨 잠실야구장3호점,음식점 > 치킨 > BHC치킨,서울 송파구 올림픽로 23-2,127.073166682639,37.5115523420622,571,010-3349-0427,http://place.map.kakao.com/1980024468,1980024468,N,KAKAO_LOCAL_API
KKO_JAMSIL_016,JAMSIL,잠실야구장,음식점,FD6,버거킹 종합운동장사거리점,음식점 > 패스트푸드 > 버거킹,서울 송파구 올림픽로 76,127.0789860748957,37.51158643619488,578,070-7462-6856,http://place.map.kakao.com/304539164,304539164,N,KAKAO_LOCAL_API
KKO_JAMSIL_017,JAMSIL,잠실야구장,음식점,FD6,앤티앤스프레즐 잠실야구장점,"음식점 > 간식 > 제과,베이커리 > 앤티앤스프레즐",서울 송파구 올림픽로 25,127.07273580196384,37.51161117344577,582,,http://place.map.kakao.com/1837728534,1837728534,N,KAKAO_LOCAL_API
KKO_JAMSIL_018,JAMSIL,잠실야구장,음식점,FD6,잠실야구장먹거리 인생순살치킨,음식점 > 치킨,서울 송파구 올림픽로 지하 23,127.074289395341,37.511108347225,583,,http://place.map.kakao.com/972500777,972500777,N,KAKAO_LOCAL_API
KKO_JAMSIL_019,JAMSIL,잠실야구장,음식점,FD6,꼬꼬닭 잠실야구장점,음식점 > 치킨,서울 송파구 올림픽로 25,127.070964478256,37.512735803,584,02-412-3542,http://place.map.kakao.com/575809099,575809099,N,KAKAO_LOCAL_API
KKO_JAMSIL_020,JAMSIL,잠실야구장,음식점,FD6,BHC치킨 잠실선착장점,음식점 > 치킨 > BHC치킨,서울 송파구 잠실동 1-2,127.08181246591035,37.51869793558322,588,,http://place.map.kakao.com/1808181015,1808181015,N,KAKAO_LOCAL_API
KKO_JAMSIL_021,JAMSIL,잠실야구장,음식점,FD6,노모어피자 종합운동장역점,음식점 > 양식 > 피자,서울 송파구 올림픽로 76,127.07918172239,37.5115601760849,589,070-4012-0771,http://place.map.kakao.com/1119487795,1119487795,N,KAKAO_LOCAL_API
KKO_JAMSIL_022,JAMSIL,잠실야구장,음식점,FD6,잭슨피자 잠실본점,음식점 > 양식 > 피자 > 잭슨피자,서울 송파구 올림픽로 74,127.078820703713,37.5113630976398,594,02-3432-0717,http://place.map.kakao.com/1845251816,1845251816,N,KAKAO_LOCAL_API
KKO_JAMSIL_023,JAMSIL,잠실야구장,음식점,FD6,KFC 잠실야구장점,음식점 > 패스트푸드 > KFC,서울 송파구 올림픽로 25,127.07089652778164,37.51264574340379,595,02-423-0862,http://place.map.kakao.com/8018483,8018483,N,KAKAO_LOCAL_API
