record_id,stadium_code,stadium_name,home_team,content_type,content_name,floor,location,official_description,operating_condition,evidence_type,evidence_subtype,source_id,source_url,verified_at,status,notes,content
A001,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,베어스 코너,1층,A08,두산 구단 상품·편의 공간,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 베어스 코너 / floor: 1층 / location: A08 / official_description: 두산 구단 상품·편의 공간"
A002,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,트윈스 팀 스토어,1층,A23,LG 트윈스 공식 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 트윈스 팀 스토어 / floor: 1층 / location: A23 / official_description: LG 트윈스 공식 상품 매장"
A003,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,베어스 하우스,1층,A24,두산 베어스 공식 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 베어스 하우스 / floor: 1층 / location: A24 / official_description: 두산 베어스 공식 상품 매장"
A004,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,원정 구단 상품샵,2층,B09,원정 구단 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 원정 구단 상품샵 / floor: 2층 / location: B09 / official_description: 원정 구단 상품 매장"
A005,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,원정 구단 상품샵,2층,B10,원정 구단 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 원정 구단 상품샵 / floor: 2층 / location: B10 / official_description: 원정 구단 상품 매장"
A006,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,원정 구단 상품샵,2층,B14,원정 구단 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 원정 구단 상품샵 / floor: 2층 / location: B14 / official_description: 원정 구단 상품 매장"
A007,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,구단 상품샵,2층,B15,홈 구단 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 구단 상품샵 / floor: 2층 / location: B15 / official_description: 홈 구단 상품 매장"
A008,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,원정 구단 상품샵,2층,B16,원정 구단 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 원정 구단 상품샵 / floor: 2층 / location: B16 / official_description: 원정 구단 상품 매장"
A009,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,구단 상품샵,2층,B17,홈 구단 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 구단 상품샵 / floor: 2층 / location: B17 / official_description: 홈 구단 상품 매장"
A010,JAMSIL,잠실야구장,"LG, DOOSAN",RETAIL,구단 상품샵,2층,B18,홈 구단 상품 매장,,OFFICIAL,OFFICIAL_GUIDE_PAGE,S12,https://www.doosanbears.com/bears/stadium,2026-09-04,CONFIRMED,,"[잠실야구장] stadium_code: JAMSIL / stadium_name: 잠실야구장 / home_team: LG, DOOSAN / content_type: RETAIL / content_name: 구단 상품샵 / floor: 2층 / location: B18 / official_description: 홈 구단 상품 매장"
