record_id,stadium_id,stadium_code,team_code,stadium_name,facility_type,floor,side,nearby_section,nearby_gate,gender,indoor_outdoor,location_detail,source_url,source_grade,source_date,verified_at,status,evidence_type,notes
FAC-001,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,1F,,103 Section 옆,,남·여,실내,103 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-002,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,1F,,105 Section 옆,,남·여,실내,105 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-003,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,1F,,106 Section 옆,,여,실내,106 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-004,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,1F,,107 Section 옆,,여,실내,107 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-005,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,1F,,108 Section 옆,,남·여,실내,108 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-006,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,1F,,110 Section 옆,,남·여,실내,110 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-007,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,로케트배터리 좌석 뒤,,남·여,실내,로케트배터리 좌석 뒤,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-008,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,204 Block 뒤,,남·여,실내,204 Block 뒤,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-009,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,201 옆,,남,실내,201 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-010,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,202 옆,,여·남,실내,202 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-011,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,203 옆,,여,실내,203 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-012,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,노랑통닭 옆,,남·여,실내,노랑통닭 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-013,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,먹거리스낵코너 옆,,남·여,실내,먹거리스낵코너 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-014,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,204 옆,,여,실내,204 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-015,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,205 옆,,여·남,실내,205 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-016,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,2F,,206 옆,,남,실내,206 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,
FAC-017,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,317 Section 옆,,남,실내,317 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-018,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,315 Section 옆,,여,실내,315 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-019,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,314 Section 옆,,남,실내,314 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-020,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,313 Section 옆,,여,실내,313 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-021,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,311 Section 옆,,남,실내,311 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-022,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,308 Section 옆,,남,실내,308 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-023,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,306 Section 옆,,여,실내,306 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-024,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,305 Section 옆,,남,실내,305 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-025,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,304 Section 옆,,여,실내,304 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-026,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,화장실,4F,,302 Section 옆,,남,실내,302 Section 옆,https://app.ssglanders.com/stadium,A,2026,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_MAP,공식 지도 위치 문자열 기준. 물리적 화장실 방 수와 동일하다고 단정하지 않음.
FAC-027,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,수유실,1F,,,GATE 3,,실내,GATE 3 인근,https://itour.incheon.go.kr/thmtour/thmtour/detail.do?cotId=ITA25032611000221861,A,2026-03-16,2026-09-07,CONFIRMED_OFFICIAL,OFFICIAL_TOURISM_PAGE,의무실·키즈존도 같은 권역으로 안내.
FAC-028,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,흡연구역,1F,,,GATE 7,,외부,7번 GATE 앞,https://blog.naver.com/PostView.naver?blogId=heki_&logNo=224348596664,B,2026-07,2026-09-07,FIELD_VERIFIED,RECENT_VISIT,공식 위치 공지는 미확인. 방문자료 기준.
FAC-029,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,흡연구역,1F,,,GATE 5~6,,외부,5~6번 GATE 앞,https://blog.naver.com/PostView.naver?blogId=heki_&logNo=224348596664,B,2026-07,2026-09-07,FIELD_VERIFIED,RECENT_VISIT,공식 위치 공지는 미확인. 방문자료 기준.
FAC-030,INCHEON_SSG,MUNHAK,SSG,인천 SSG 랜더스필드,흡연구역,1F,,,스타벅스 GATE,,외부,1루 매표소 쪽 스타벅스 GATE,https://blog.naver.com/PostView.naver?blogId=heki_&logNo=224348596664,B,2026-07,2026-09-07,FIELD_VERIFIED,RECENT_VISIT,공식 위치 공지는 미확인. 방문자료 기준.
FAC-031,DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,화장실,1F,외야,외야 502~503,,남,실내,외야 502~503 인접,https://app.hanwhaeagles.co.kr/app/stadium,A,2026,2026-09-07,OFFICIAL_APPROXIMATE,OFFICIAL_APP_LAYER,층·시설 종류는 공식 레이어. 블록은 이미지 핀 판독이므로 '인접/약' 의미 유지.
FAC-032,DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,화장실,1F,3루,3루 222~223,,남,실내,3루 222~223 인접,https://app.hanwhaeagles.co.kr/app/stadium,A,2026,2026-09-07,OFFICIAL_APPROXIMATE,OFFICIAL_APP_LAYER,층·시설 종류는 공식 레이어. 블록은 이미지 핀 판독이므로 '인접/약' 의미 유지.
FAC-033,DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,화장실,1F,3루,3루 219~220,,남,실내,3루 219~220 인접,https://app.hanwhaeagles.co.kr/app/stadium,A,2026,2026-09-07,OFFICIAL_APPROXIMATE,OFFICIAL_APP_LAYER,층·시설 종류는 공식 레이어. 블록은 이미지 핀 판독이므로 '인접/약' 의미 유지.
FAC-034,DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,화장실,1F,3루,3루 215~216,,남,실내,3루 215~216 인접,https://app.hanwhaeagles.co.kr/app/stadium,A,2026,2026-09-07,OFFICIAL_APPROXIMATE,OFFICIAL_APP_LAYER,층·시설 종류는 공식 레이어. 블록은 이미지 핀 판독이므로 '인접/약' 의미 유지.
FAC-035,DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,화장실,1F,1루,1루 201~202,,남,실내,1루 201~202 인접,https://app.hanwhaeagles.co.kr/app/stadium,A,2026,2026-09-07,OFFICIAL_APPROXIMATE,OFFICIAL_APP_LAYER,층·시설 종류는 공식 레이어. 블록은 이미지 핀 판독이므로 '인접/약' 의미 유지.
FAC-036,DAEJEON_HANWHA,DAEJEON,HANWHA,대전 한화생명 볼파크,화장실,1F,1루,1루 204~205,,남,실내,1루 204~205 인접,https://app.hanwhaeagles.co.kr/app/stadium,A,2026,2026-09-07,OFFICIAL_APPROXIMATE,OFFICIAL_APP_LAYER,층·시설 종류는 공식 레이어. 블록은 이미지 핀 판독이므로 '인접/약' 의미 유지.
