stadium_code,access_code,mode,title,details,parking_spaces,reservation_required,evidence_type,evidence_subtype,source_id,verified_at,status,overlaps_legacy_parking_csv,content
JAMSIL,SUBWAY,SUBWAY,종합운동장역,"2호선 6·7번 출구, 9호선 9번 출구",,N,OFFICIAL,OFFICIAL_XLSX,S035,2026-09-03,CONFIRMED,False,"[잠실야구장] stadium_code: JAMSIL / access_code: SUBWAY / mode: SUBWAY / title: 종합운동장역 / details: 2호선 6·7번 출구, 9호선 9번 출구 / reservation_required: N"
JAMSIL,BUS,BUS,종합운동장 정류장,"지선 2415·3217·3411·3412·3414·3417·3322·3422·4319, 간선 301·333·341·350·342·360·345·N13 등",,N,OFFICIAL,OFFICIAL_XLSX,S035,2026-09-03,CONFIRMED,False,"[잠실야구장] stadium_code: JAMSIL / access_code: BUS / mode: BUS / title: 종합운동장 정류장 / details: 지선 2415·3217·3411·3412·3414·3417·3322·3422·4319, 간선 301·333·341·350·342·360·345·N13 등 / reservation_required: N"
JAMSIL,PARKING,CAR,종합운동장 주차,"명목 876면. 주경기장 공사로 약 680면 이용 제한. 소형 5분 200원·대형 400원, 15분 미만 무료",876.0,N,OFFICIAL,OFFICIAL_XLSX,S036,2026-09-03,CONFIRMED,False,"[잠실야구장] stadium_code: JAMSIL / access_code: PARKING / mode: CAR / title: 종합운동장 주차 / details: 명목 876면. 주경기장 공사로 약 680면 이용 제한. 소형 5분 200원·대형 400원, 15분 미만 무료 / parking_spaces: 876.0 / reservation_required: N"
GOCHEOK,SUBWAY,SUBWAY,1호선 접근,"구일역 2번 출구 150m·약 3분. 구로역 2번 출구 약 1km·20분, 개봉역 2번 출구 약 15분. 신도림역에서 버스 3정거장",,N,OFFICIAL,OFFICIAL_XLSX,S040,2026-09-03,CONFIRMED,False,"[고척스카이돔] stadium_code: GOCHEOK / access_code: SUBWAY / mode: SUBWAY / title: 1호선 접근 / details: 구일역 2번 출구 150m·약 3분. 구로역 2번 출구 약 1km·20분, 개봉역 2번 출구 약 15분. 신도림역에서 버스 3정거장 / reservation_required: N"
GOCHEOK,BUS,BUS,인근 버스 정류장,동양미래대학교·구로성심병원 인근 정류장 이용. 상세 노선은 공식 오시는 길 참조,,N,OFFICIAL,OFFICIAL_XLSX,S040,2026-09-03,CONFIRMED,False,[고척스카이돔] stadium_code: GOCHEOK / access_code: BUS / mode: BUS / title: 인근 버스 정류장 / details: 동양미래대학교·구로성심병원 인근 정류장 이용. 상세 노선은 공식 오시는 길 참조 / reservation_required: N
GOCHEOK,PARKING,CAR,고척스카이돔 주차,"총 484면. 08:00~22:00, 5분 150원 카드전용. 야구·행사일에는 주최 측 전면 대관으로 일반 이용 제한 전기차충전소 구비(서울시설공단 공식 시설현황, 2026-09-05 열람 — 면수 484면은 기존 값과 일치해 교차검증 완료).",484.0,N,OFFICIAL,OFFICIAL_XLSX,S041,2026-09-03,CONFIRMED,False,"[고척스카이돔] stadium_code: GOCHEOK / access_code: PARKING / mode: CAR / title: 고척스카이돔 주차 / details: 총 484면. 08:00~22:00, 5분 150원 카드전용. 야구·행사일에는 주최 측 전면 대관으로 일반 이용 제한 전기차충전소 구비(서울시설공단 공식 시설현황, 2026-09-05 열람 — 면수 484면은 기존 값과 일치해 교차검증 완료). / parking_spaces: 484.0 / reservation_required: N"
MUNHAK,TRANSIT,PUBLIC_TRANSIT,주요 역·터미널 연계,인천터미널역 도보·지하철 이용. 부평·주안·선학·동막·제물포·인하대·석천사거리·인천논현역에서 공식 안내 버스 이용,,N,OFFICIAL,OFFICIAL_XLSX,S046,2026-09-03,CONFIRMED,False,[인천 SSG 랜더스필드] stadium_code: MUNHAK / access_code: TRANSIT / mode: PUBLIC_TRANSIT / title: 주요 역·터미널 연계 / details: 인천터미널역 도보·지하철 이용. 부평·주안·선학·동막·제물포·인하대·석천사거리·인천논현역에서 공식 안내 버스 이용 / reservation_required: N
MUNHAK,PARKING,CAR,랜더스필드 주차,"총 4,002면. 승용 2,000원, 15인승 승합 4,000원, 25인승 이상 6,000원. 15분 무료",4002.0,N,OFFICIAL,OFFICIAL_XLSX,S045,2026-09-03,CONFIRMED,False,"[인천 SSG 랜더스필드] stadium_code: MUNHAK / access_code: PARKING / mode: CAR / title: 랜더스필드 주차 / details: 총 4,002면. 승용 2,000원, 15인승 승합 4,000원, 25인승 이상 6,000원. 15분 무료 / parking_spaces: 4002.0 / reservation_required: N"
SUWON,BUS,BUS,경기장 경유 버스,"경기 7-2·19·25·27·62-1·64·99·99-2·300·300-1·310·777·900, 성남 2007, 사당 7770, 강남권 3000",,N,OFFICIAL,OFFICIAL_XLSX,S050,2026-09-03,CONFIRMED,False,"[수원 KT 위즈 파크] stadium_code: SUWON / access_code: BUS / mode: BUS / title: 경기장 경유 버스 / details: 경기 7-2·19·25·27·62-1·64·99·99-2·300·300-1·310·777·900, 성남 2007, 사당 7770, 강남권 3000 / reservation_required: N"
SUWON,SUBWAY,SUBWAY_BUS,전철역 연계,화서역·수원역·성균관대역에서 택시 약 10분 또는 공식 안내 버스 환승,,N,OFFICIAL,OFFICIAL_XLSX,S050,2026-09-03,CONFIRMED,False,[수원 KT 위즈 파크] stadium_code: SUWON / access_code: SUBWAY / mode: SUBWAY_BUS / title: 전철역 연계 / details: 화서역·수원역·성균관대역에서 택시 약 10분 또는 공식 안내 버스 환승 / reservation_required: N
